t_s,TimeUS,mode,armed,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
2.239,528604503,17,1,1500,1500,1098,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.279,528644742,17,1,1500,1500,1135,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.319,528684771,17,1,1500,1500,1167,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.360,528724944,17,1,1500,1500,1170,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.399,528764624,17,1,1500,1500,1170,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.439,528804535,17,1,1500,1500,1170,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.479,528844532,17,1,1500,1500,1171,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.519,528884511,17,1,1500,1500,1171,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.559,528924707,17,1,1500,1500,1172,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.600,528965089,17,1,1500,1500,1172,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.640,529004927,17,1,1500,1500,1172,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.679,529044735,17,1,1500,1500,1172,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.719,529084710,17,1,1500,1500,1172,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.760,529124928,17,1,1500,1500,1180,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.799,529164645,17,1,1500,1500,1208,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.839,529204770,17,1,1500,1500,1210,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.879,529244484,17,1,1500,1500,1225,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.919,529284476,17,1,1500,1500,1255,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.959,529324449,17,1,1500,1500,1268,1500,2000,2000,999,1500,999,999,2000,2000,880,880
2.999,529364603,17,1,1500,1500,1270,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.040,529404829,17,1,1500,1500,1271,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.080,529444815,17,1,1500,1500,1273,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.119,529484664,17,1,1500,1500,1273,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.159,529524638,17,1,1500,1500,1273,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.200,529564819,17,1,1500,1500,1288,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.239,529604718,17,1,1500,1500,1293,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.280,529644866,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.320,529684839,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.360,529725028,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.400,529765011,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.439,529804428,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.479,529844320,17,1,1500,1500,1293,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.519,529884399,17,1,1500,1500,1293,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.559,529924606,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.599,529964611,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.639,530004412,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.679,530044405,17,1,1500,1500,1295,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.719,530084361,17,1,1500,1500,1298,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.759,530124434,17,1,1500,1500,1298,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.799,530164714,17,1,1500,1500,1313,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.839,530204614,17,1,1500,1500,1326,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.879,530244578,17,1,1500,1500,1335,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.919,530284277,17,1,1500,1500,1336,1500,2000,2000,999,1500,999,999,2000,2000,880,880
3.959,530324556,17,1,1500,1500,1336,1500,2000,2000,999,1500,999,999,2000,2000,880,880
